,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,987.948,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,987.4599504,19.015
1,988.1010000000001,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,987.6123504000001,19.015
2,988.405,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,987.9171504000001,19.015
3,988.558,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,988.0695504,19.015
4,988.863,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,988.3743504,19.015
5,989.015,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,988.5267504000001,19.015
6,989.32,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,988.8315504000001,19.015
7,989.472,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,988.9839504,19.015
8,989.625,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,989.1363504000001,19.015
9,989.7769999999999,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,989.2887504,19.015
10,989.929,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,989.4411504000001,19.015
11,990.539,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,990.0507504000001,19.015
12,991.1489999999999,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,990.6603504000001,19.015
13,991.453,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,990.9651504000001,19.015
14,991.758,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,991.2699504000001,19.015
15,992.063,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,991.5747504000001,19.015
16,992.52,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.0319504,19.015
17,992.673,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.1843504000001,19.015
18,992.825,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.3367504,19.015
19,992.977,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.4891504000001,19.015
20,993.13,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.6415504,19.015
21,993.2819999999999,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,992.7939504000001,19.015
22,993.7389999999999,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,993.2508456,19.015
23,993.8919999999999,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,993.4032456,19.015
24,994.044,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,993.5556456,19.015
25,994.197,6.1794802724901405,16538.9999357413,13.479998952959399,12.789999921600002,179.850006,1883.3499757007999,1.3600000356631898,444.5,140.914585980017,993.7080456,19.015
